Department,CourseNum,Section,ISBN,Title
BUA,325,0001,9780077396589,"CONNECT ACCESS CARD F/MANAGEMENT: PRACT. INTRO."
BUA,325,0002,9780077396589,"CONNECT ACCESS CARD F/MANAGEMENT: PRACT. INTRO."
BUA,325,0003,9780077396589,"CONNECT ACCESS CARD F/MANAGEMENT: PRACT. INTRO."
BUA,327,0001,9781439042311,"BUSINESS+SOCIETY"
BUA,328,0001,9780136072799,"STRUCTURE OF AMERICAN INDUSTRY"
BUA,330,0001,9780324542752,"HUMAN RESOURCE MANAGEMENT"
BUA,331,0001,9780136084358,"LABOR RELATIONS & COLLECTIVE BARGAINING"
BUA,337,0001,9780716779391,"I>CLICKER CLASSROOM RESPONSE SYSTEM"
BUA,337,0002,9780716779391,"I>CLICKER CLASSROOM RESPONSE SYSTEM"
BUA,343,0001,9780137153756,"INTERNATIONAL BUSINESS"
BUA,343,0002,9780137153756,"INTERNATIONAL BUSINESS"
BUA,350,0001,9781111494223,""
BUA,350,0002,9781111494223,""
BUA,351,0001,9780136117018,"VALUATION"
BUA,351,0002,9780136117018,"VALUATION"
BUA,367,0001,9781439041284,"ORACLE 11G: SQL (W/2 CDS)"
BUA,367,0002,9781439041284,"ORACLE 11G: SQL (W/2 CDS)"
BUA,370,0001,9780073380957,"MARKETING"
BUA,370,0002,9780073380957,"MARKETING"
BUA,374,0001,9780538748759,"SELL - W/REVIEW CARDS & PREMIUM WEBSITE ACCESS CARD"
BUA,382,0001,9780077294106,"CONSUMER BEHAVIOR (W/CD)"
BUA,382,0002,9780077294106,"CONSUMER BEHAVIOR (W/CD)"
BUA,400,0001,9780470499474,"CORE CONCEPTS OF ACCOUNTING"
BUA,409,0001,9780073379609,"ACCOUNTING F/GOV.+NONPROF.ENTITIES"
BUA,445,0001,9781121083462,"INTERNATIONAL MANAGEMENT"
BUA,449,0001,9780558141226,"PRENTICE HALL JUST IN TIME >CUSTOM F/UMAINE<"
BUA,449,0002,9780558141226,"PRENTICE HALL JUST IN TIME >CUSTOM F/UMAINE<"
BUA,449,0003,9780558141226,"PRENTICE HALL JUST IN TIME >CUSTOM F/UMAINE<"
BUA,449,0004,9780136006695,"ESSENTIALS OF STRATEGIC MANAGEMENT"
BUA,449,0005,9780136006695,"ESSENTIALS OF STRATEGIC MANAGEMENT"
BUA,454,0001,9780324273021,"DERIVATIVES:INTRODUCTION"
BUA,480,0001,9780073381138,"MARKETING MANAGEMENT"
BUA,480,0002,9780073381138,"MARKETING MANAGEMENT"
BUA,490,0001,9780671015206,"MILLIONAIRE NEXT DOOR"
BUA,490,0002,9780840032546,"HBR'S 10 MUST READS ON LEADERSHIP <12546-SBC-ENG>"
BUA,515,0001,9780078136696,"TAXATION OF BUSINESS ENTITIES 2011 ED."
BUA,620,0001,9780324826999,"INTRO.TO BUSINESS LAW"
BUA,626,0001,9780073530505,"ORGANIZATIONAL BEHAVIOR+MANAGEMENT"
BUA,645,0001,9780840035035,"BUA 645 CASES   (16 PIECES)"
BUA,654,0001,9780324273021,"DERIVATIVES:INTRODUCTION"
BUA,676,0001,9780470317259,"MARKETING RESEARCH"
BUA,690,0001,9780132423502,"AUDITING CASES"
CEC,520,0001,9780205497621,"ELEMENTS OF CULTURE IN COUNSELING"
CEC,525,0860,9780890420256,"DIAG.+STAT.MAN.OF MENTAL...DSM-IV-TR"
CEC,548,0860,9781556202766,"COUNSELOR+THE LAW"
CEC,549,0001,9780495599579,""
CEC,551,0860,9781929289028,"ASCA NATIONAL MODEL:FRAMEWORK...-W/CD"
CEC,556,0001,9780131138032,"THEORIES OF COUNSELING & PSYCHOTHERAPY"
CEC,559,0860,9780495804703,"APPLYING CAREER DEVELOPMENT THEORY TO COUNSELING"
CEC,560,0860,9780495006251,"EFFECTIVE HELPING"
CEC,585,0860,9781606236987,"RETHINKING SUBSTANCE ABUSE"
CEC,657,0860,9780761924692,"HANDBOOK OF GROUP COUNSELING & PSYCHOTHERAPY"
CEC,659,0001,9780534990350,"CLINICAL SUPERVISION IN HELPING PROFESSIONS"
CEC,661,0001,9781412956611,"COUNSELING & EDUCATION RESEARCH"
CET,101,0001,9780136154310,"ELEMENTARY SURVEYING (W/CD)"
CET,130,0001,9780470074688,"FUND.OF BUILDING CONSTRUCTION"
CET,130,0860,9780470074688,"FUND.OF BUILDING CONSTRUCTION"
CET,202,0001,9780136154310,"ELEMENTARY SURVEYING (W/CD)"
CET,221,0001,9780135000793,"CONSTRUCTION METHODS+MANAGEMENT"
CET,224,0001,9780980164848,"29 CFR 1926 OSHA CONSTRUCT IND REG 2007(#0125)"
CET,332,0001,9780840006264,"CET 332 NOTES"
CET,360,0001,9781936335039,"BUILDING CONSTRUCTION COST DATA 2011 (ED: WAIER)"
CET,455,0001,9781591261773,"CIVIL DISCIPLINE-SPECIFIC REV.F/FE/EIT"
CET,458,0001,9781401809126,"CONSTRUCTION JOBSITE MANAGEMENT"
CHB,112,0002,9780840034830,"NI MYDAQ STUDENT KIT (FULL VERSION)"
CHB,350,0001,9780470169926,"INTRO.TO STATISTICAL QUALITY CONTROL"
CHE,362,0001,9780131013674,"TRANSPORT PROCESSES+SEPARATION PROC..."
CHE,368,0001,9780130473943,"ELEM.OF CHEMICAL REACT.ENGINEERING-W/CD"
CHE,385,0001,9780073104454,"INTRO TO CHEM.ENGR.THERMODYN."
CHE,430,0001,9780130181688,"POLYMER SCIENCE+TECHNOLOGY"
CHE,561,0001,9780882461731,"CHEMICAL REACTOR OMNIBOOK"
CHE,580,0001,9780073401065,"NUMERICAL METH.F/ENGR."
CHF,200,0860,9780495905455,"M+F W/REVIEW CARDS & ACCESS CODE TO COURSEMATE"
CHF,201,0990,9781111651770,"CHILDHOOD:VOYAGES IN DEV W/OBSER CHILDREN& COURSEMATE E-BK"
CHF,203,0001,9780205515325,"EFFECTIVE PRACTICES IN EARLY CHILDHOOD EDUCATION"
CHF,303,0001,9780923568962,"APA:THE EASY WAY!"
CHF,304,0001,9780558968458,"TEACHER PREPARATION PKG UNIV OF MAINEW/ACCESS CARD"
CHF,311,0860,9780807742983,"POWER OF PROJECTS"
CHF,322,0001,9781571104182,"BLACK ANTS & BUDDHISTS"
CHF,322,0990,9781571104182,"BLACK ANTS & BUDDHISTS"
CHF,329,0001,9780131116771,"CHILDREN ARE BORN MATHMETICIANS"
CHF,331,0001,9780131113848,"CHILDREN'S THINKING"
CHF,351,0001,9780313363207,"AMERICA'S WAR ON SEX"
CHF,351,0990,9780313363207,"AMERICA'S WAR ON SEX"
CHF,385,0001,9780136117001,"PERSONAL FINANCE (W/CD)"
CHF,404,0860,9780826102874,"CAREGIVING CONTEXTS"
CHF,404,0990,9780840004192,"CHF 404 (990-SPRING) COURSEPACK"
CHF,423,0001,9780205308781,"ETHICS OF PROFESSIONAL PRACTICE"
CHF,424,0001,9780558968458,"TEACHER PREPARATION PKG UNIV OF MAINEW/ACCESS CARD"
CHF,431,0001,9781400081608,"LOVE IN THE DRIEST SEASON"
CHF,432,0990,9780738210827,"HURRIED CHILD:GROWING UP TOO FAST"
CHF,433,0001,9780073382616,"ADOLESCENCE"
CHF,434,0001,9780072937886,"ADULT DEVELOPMENT+AGING"
CHF,442,0860,9780840034717,"ESSENTIAL INTERVIEWING"
CHF,450,0990,9780130423351,"INCLUSIVE EARLY CHILDHOOD EDUCATION"
CHF,451,0001,9780073404233,"SHIFTING THE CENTER"
CHF,452,0001,9780761927563,"FAMILY VIOLENCE ACROSS THE LIFESPAN"
CHF,488,0001,9780131593688,"FAMILY LAW FOR PARALEGAL"
CHY,101,0001,9780618376629,"ADVENTURES IN CHEMISTRY"
CHY,121,0001,9780077354763,"CHEMISTRY"
CHY,121,0002,9780077354763,"CHEMISTRY"
CHY,121,0665,9780077354763,"CHEMISTRY"
CHY,122,0001,9780077354763,"CHEMISTRY"
CHY,122,0002,9780077354763,"CHEMISTRY"
CHY,122,0003,9780077354763,"CHEMISTRY"
CHY,122,0004,9780077354763,"CHEMISTRY"
CHY,122,0005,9780077354763,"CHEMISTRY"
CHY,122,0006,9780077354763,"CHEMISTRY"
CHY,242,0001,9780716770411,"QUANTITATIVE CHEM.ANALYSIS-TEXT"
CHY,252,0001,9780077985936,"ORGANIC CHEMISTRY W/SG-SOL MAN & DARLING MODEL KIT"
CHY,252,0002,9780077985936,"ORGANIC CHEMISTRY W/SG-SOL MAN & DARLING MODEL KIT"
CHY,254,0001,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0002,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0003,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0004,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0005,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0006,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0007,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,254,0008,9780840008237,"ORGANIC CHEMISTRY LAB MANUAL W/LAB ACCESS CARD"
CHY,431,0001,9780716771081,"LEHNINGER PRIN OF BIOCHEMISTRY"
CHY,453,0001,9780471393627,"SPECTROMETRIC IDEN.OF ORG.COMPOUNDS"
CHY,472,0001,9780072538625,"PHYSICAL CHEMISTRY"
CHY,475,0001,9780121060510,"INTRO TO QUANTUM MECHANICS"
CHY,483,0001,9780126474817,"WOOD CHEMISTRY:FUND.+APPL."
CHY,553,0001,9780471393627,"SPECTROMETRIC IDEN.OF ORG.COMPOUNDS"
CHY,575,0001,9780121060510,"INTRO TO QUANTUM MECHANICS"
CHY,583,0001,9780126474817,"WOOD CHEMISTRY:FUND.+APPL."
CIE,101,0001,9780840005106,"CIE 101 NOTES"
CIE,115,0001,9780898716917,"INSIGHT THROUGH COMPUTING"
CIE,225,0001,9780495082507,"TRAFFIC+HIGHWAY ENGINEERING"
CIE,365,0001,9780132496346,"INTRO TO GEOTECHNICAL ENGINEERING"
CIE,424,0001,9780072423327,"URBAN TRANSPORTATION PLANNING"
CIE,434,0001,9780070418783,"WASTEWATER ENGINEERING: TREATMENT & REUSE"
CIE,439,0001,9780071356237,"HANDBOOK OF SOLID WASTE MANAGEMENT"
CIE,440,0001,9780073305387,"FUND OF STRUCTURAL ANALYSIS"
CIE,443,0001,9780495244714,"STEEL DESIGN"
CIE,456,0001,9780122578557,"GROUNDWATER SCIENCE"
CIE,498,0001,9780470460641,"WATER RESOURCES ENGINEERING"
CIE,547,0001,9780967493916,"PRESTRESSED CONCRETE ANAL.+DESIGN FUND."
CIE,598,0001,9780470460641,"WATER RESOURCES ENGINEERING"
CLA,102,0990,9780553210415,"AENEID (VERSE TRANS MANDELBAUM)"
CLA,400,0990,9780143105138,"AENEID (DELUXE ED) (TRANS FAGLES)"
CMJ,100,0001,9780312609429,"MEDIA+CULTURE 2011 UPDATE"
CMJ,102,0001,9780199733811,"MAKING CONNECTIONS"
CMJ,102,0002,9780199733811,"MAKING CONNECTIONS"
CMJ,102,0003,9780199733811,"MAKING CONNECTIONS"
CMJ,102,0004,9780199733811,"MAKING CONNECTIONS"
CMJ,103,0002,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0004,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0005,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0006,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0008,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0009,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0010,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0011,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0012,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0500,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0501,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,103,0665,9780073385150,"ART OF PUBLIC SPEAKING"
CMJ,106,0001,9780534620011,"PERFORMING LITERARY TEXTS"
CMJ,106,0002,9780534620011,"PERFORMING LITERARY TEXTS"
CMJ,201,0001,9780872200166,"GORGIAS"
CMJ,236,0001,9780917360527,"ASSOC.PR.STYLEBOOK 2008 (43RD)(ED: GOLDSTEIN)"
CMJ,236,0002,9780917360527,"ASSOC.PR.STYLEBOOK 2008 (43RD)(ED: GOLDSTEIN)"
CMJ,236,0003,9780917360527,"ASSOC.PR.STYLEBOOK 2008 (43RD)(ED: GOLDSTEIN)"
CMJ,236,0004,9780917360527,"ASSOC.PR.STYLEBOOK 2008 (43RD)(ED: GOLDSTEIN)"
CMJ,237,0001,9781604269963,"PRODUCING ONLINE NEWS"
CMJ,257,0001,9780205693115,"STRATEGIC COMMUNICATION IN BUS.+PROFES."
CMJ,257,0002,9780205693115,"STRATEGIC COMMUNICATION IN BUS.+PROFES."
CMJ,367,0001,9780205781690,"THINK PUBLIC RELATIONS,2011"
CMJ,367,0002,9780205781690,"THINK PUBLIC RELATIONS,2011"
CMJ,375,0001,9780321243331,"ETHICS IN 21ST CENTURY"
CMJ,380,0001,9780415963305,"ADVERTISING AND CONSUMER CULTURE READER 1ST 09 PB"
CMJ,398,0700,9780415140416,"MEDIASPORT"
CMJ,402,0001,9780205198269,"INVESTIGATING COMMUNICATION"
CMJ,403,0001,9780757570575,"PERSUASION (REV)"
CMJ,405,0001,9781412925594,"COMMUNICATING GENDER DIVERSITY"
CMJ,425,0001,9781412956475,"SOCIAL MARKETING"
CMJ,470,0001,9780757566592,"ORGANIZATIONAL COMMUNICATION: STRATEGIES FOR SUCCESS"
CMJ,481,0001,9781604265606,"JOURNALISM NEXT: PRACTICAL GUIDE TO DIGITAL REPORTING ETC (P"
CMJ,483,0001,9780745635040,"MEDIA+MORALITY"
CMJ,484,0001,9781604265507,"ART OF ACCESS"
CMJ,485,0001,9781412905398,"ETHICS IN THE WORKPLACE:TOOLS+TACTICS F/ORG. TRANSFORMATION"
CMJ,489,0001,9780073511948,"MEDIA ETHICS:ISSUES+CASES"
CMJ,510,0001,9780205564668,"CRITICAL APPROACHES TO TELEVISION"
CMJ,530,0001,9780205781423,"LAW OF PUBLIC COMMUNICATION-2011 UPDATE"
COS,103,0001,9780558727970,""
COS,103,0990,9780558727970,""
COS,104,0990,9780558727987,""
COS,115,0990,9780538747455,"HTML, XHTML & CSS:COMPLETE"
COS,120,0001,9780132128568,"INTRO TO PROG USING VB 2010 (W/DVD)"
COS,120,0860,9780132128568,"INTRO TO PROG USING VB 2010 (W/DVD)"
COS,125,0001,9780716779391,"I>CLICKER CLASSROOM RESPONSE SYSTEM"
COS,140,0001,9780840006974,"COS 140 NOTES"
COS,211,0001,9781423901471,"CONCEPTS OF DATABASE MANAGEMENT"
COS,211,0860,9781423901471,"CONCEPTS OF DATABASE MANAGEMENT"
COS,213,0001,9780558637965,""
COS,213,0990,9780558637965,""
COS,215,0001,9780133630039,"FORTRAN 77 F/ENGINEERS+SCIENTISTS"
COS,220,0001,9780558888008,""
COS,225,0001,9780470128718,"INTRO TO PROG & OBJECT ORIENTED DESIGN USING JAVA"
COS,250,0001,9780073229720,"DISCRETE MATHEMATICS+ITS APPL."
COS,335,0001,9780136073734,"COMPUTER ORGANIZATION+ARCHITECTURE"
COS,350,0001,9780471383659,"ALGORITHM DESIGN"
COS,420,0001,9780137035151,"SOFTWARE ENGINEERING"
COS,490,0001,9780451524935,"1984 (RACK SIZE) (W/328 PGS)"
COS,520,0001,9780137035151,"SOFTWARE ENGINEERING"
COS,554,0001,9780070131514,"INTRO.TO ALGORITHMS (CLOTH)-TEXT"
CSD,101,0860,9781563683008,"ALONE IN THE MAINSTREAM"
CSD,102,0860,9780963401632,"FOR HEARING PEOPLE ONLY"
CSD,130,0001,9780135022801,"COMMUNICATION SCIENCES & DISORDERS (W/CD)"
CSD,222,0001,9780156032889,"DO YOU SPEAK AMERICAN?"
CSD,381,0001,9780205525560,"LANGUAGE DEVELOPMENT"
CSD,484,0001,9780205480258,"SPEECH SCIENCE"
CSD,487,0001,9781416404170,"INTRO TO COMMUNICATION SCIENCES & DISORDERS (W/CD)"
CSD,581,0001,9780205549252,"ARTICULATORY & PHONOLOGICAL IMPAIRMENTS"
CSD,582,0001,9781597563482,"CLINICAL VOICE PATHOLOGY (REV)"
CSD,588,0001,9780205482924,"INTRO.TO AUDIOLOGIC REHABILITATION"
CSD,684,0001,9781418053284,"ASSESSMENT IN SPEECH-LANG.PATH...-W/CD"
CSD,688,0001,9780323045315,"INTRO TO NEUROGENIC COMMUNICATION DISORDERS"
EAD,510,0001,9780205578597,"BASIC GUIDE SUPERVISION & INSTRUCTIONAL LEADERSHIP"
EAD,560,0002,9780803961821,"BECOMING BETTER LEADERS"
EAD,615,0001,9780787901646,"MAKING SENSE AS A SCHOOL LEADER"
EAD,630,0001,9780205511792,"FINANCING EDUCATION IN CLIMATE OF CHANGE"
EAD,651,0001,9781412939799,"IMAGES OF ORGANIZATION (UPD)"
EAD,654,0001,9780136157274,"POLICY STUDIES FOR EDUCATIONAL LEADERS"
ECE,177,0001,9780763739522,"C PROGRAMMING FOR SCIENTISTS & ENGINEERS W/APPL"
ECE,209,0001,9780130198556,"INTRO.CIRC.F/ELECT.+COMP.ENGR.-TEXT"
ECE,210,0001,9780470383308,"ANALYSIS+DESIGN OF LINEAR CIRCUITS"
ECE,211,0001,9780470383308,"ANALYSIS+DESIGN OF LINEAR CIRCUITS"
ECE,271,0001,9780131428041,"MICROCOMPUTER ENGINEERING"
ECE,331,0001,9780131480049,"LINUX ADMINISTRATION HANDBOOK"
ECE,343,0001,9780195323030,"MICROELECTRONIC CIRCUITS (W/CD)"
ECE,414,0001,9780136019695,"FEEDBACK CONTROL OF DYNAMIC SYSTEMS"
ECE,444,0001,9780470245996,"ANAL.+DESIGN OF ANALOG INTEG.CIRCUITS"
ECE,465,0001,9781439808528,"INTRODUCTION TO SENSORS"
ECE,465,0299,9781439808528,"INTRODUCTION TO SENSORS"
ECE,486,0001,9780131873742,"DIGITAL SIGNAL PROCESSING"
ECE,498,0001,9780470142509,"ALTERNATIVE ENERGY SYSTEMS"
ECE,512,0001,9780390813664,"FUNDAMENTALS OF LINEAR STATE SPACE SYSTEMS"
ECO,100,0990,9780324590029,"ESSENTIALS OF ECONOMICS"
ECO,120,0001,9780138132774,"MICROECONOMICS"
ECO,120,0002,9780138132774,"MICROECONOMICS"
ECO,120,0990,9780138132774,"MICROECONOMICS"
ECO,121,0001,9781111776947,""
ECO,121,0700,9780073365947,"MACROECONOMICS"
ECO,180,0001,9780262693240,"ENERGY AT THE CROSSROADS"
ECO,190,0990,9780415494243,"ECONOMICS OF AGRICULTURAL DEVELOPMENT"
ECO,254,0001,9780131469846,"EFFECT.SMALL BUSINESS MANAGEMENT-TEXT"
ECO,280,0001,9780321613998,"CALCULUS FOR BUS, ECON, LIFE SCI & SOC SCI"
ECO,321,0001,9780393975154,"MACROECONOMICS"
ECO,340,0001,9780136072799,"STRUCTURE OF AMERICAN INDUSTRY"
ECO,350,0001,9780132080231,"MICROECONOMICS"
ECO,353,0001,9780465019861,"HOUSING BOOM AND BUST-REVISED"
ECO,370,0860,9781586489168,"FRUGAL SUPERPOWER"
ECO,381,0001,9780840002815,"ECO 381 NOTES (BLOCK 4)"
ECO,466,0001,9780759392786,"INTERNETMARKETING"
ECO,470,0001,9780195373387,"BOTTOM BILLION"
ECO,475,0001,9780321180230,"MODERN INDUSTRIAL ORGANIZATION"
ECO,488,0001,9780078096600,"INTRO.TO MANAGEMENT SCIENCE"
ECO,488,0002,9780078096600,"INTRO.TO MANAGEMENT SCIENCE"
ECO,489,0001,9780312475628,"BEDFORD RESEARCHER"
